Conocimiento,CursoSugeridoUdemy,URL,Nota
"Principios SOLID, cohesión y acoplamiento",Arquitectura de Software – Entrenamiento completo,https://www.udemy.com/course/arquitectura-de-software/,1
"Estilos arquitectónicos clásicos: monolito, cliente-servidor, N-capas",Arquitectura de Software – Entrenamiento completo,https://www.udemy.com/course/arquitectura-de-software/,1
"Introducción a patrones de diseño (Factory, Adapter, Observer)",Patrones de diseño con ejemplos prácticos,https://www.udemy.com/course/patrones-de-diseno/
"Documentación con UML y diagramas C4","Introducción a UML",https://www.udemy.com/course/introduccionaumllenguajeunificadodemodelado/
"Documentación con UML y diagramas C4","Software Architecture: Modeling, Viewpoints, C4",https://www.udemy.com/course/architecting-software-modeling-viewpoints-c4/
"Primeros requisitos no funcionales: escalabilidad, mantenibilidad, seguridad",Arquitectura de Software – Entrenamiento completo,https://www.udemy.com/course/arquitectura-de-software/,1
"Conceptos básicos de métricas de calidad","Arquitectura de Software – Entrenamiento completo",https://www.udemy.com/course/arquitectura-de-software/,1
"Conceptos básicos de métricas de calidad","Diseño de Sistemas a Gran Escala y Arquitectura de Software",https://www.udemy.com/course/diseno-de-sistemas-a-gran-escala-y-arquitectura-de-software/
"Introducción al análisis de deuda técnica","Arquitectura Software Avanzada: Más allá de los Patrones",https://www.udemy.com/course/arquitectura-software-avanzada-mas-alla-de-los-patrones/
"Introducción al análisis de deuda técnica","Arquitectura de Software – Entrenamiento completo",https://www.udemy.com/course/arquitectura-de-software/,1
"Introducción a CI/CD y control de versiones",Fundamentos de DevOps,https://www.udemy.com/course/devops-y-microservicios-fundamentos/
"Contenedores y despliegues básicos","DevOps Integral: Docker, Kubernetes, Jenkins, GitFlow",https://www.udemy.com/course/devops-con-dockers-kubernetes-jenkins-y-gitflow-cicd/
"Observabilidad inicial: logs y métricas fundamentales","Monitoreo con Prometheus, Grafana, Spring Boot y Docker",https://www.udemy.com/course/devs4j-monitoring/
"Observabilidad inicial: logs y métricas fundamentales","Observabilidad de microservicios con OpenTelemetry",https://www.udemy.com/course/opentelemetry/
Certificación AWS Cloud Practitioner (2),AWS Certified Cloud Practitioner [ES],https://www.udemy.com/course/certified-cloud-practitioner-aws/
Certificación AWS Cloud Practitioner (2),AWS Certified Cloud Practitioner en Español,https://www.udemy.com/course/aws-cloud-practitioner-espanol/
Certificación Microsoft Azure Fundamentals (AZ-900) (2),AZ-900 Microsoft Azure Fundamentals,https://www.udemy.com/course/azure-fundamentals/
Certificación Microsoft Azure Fundamentals (AZ-900) (2),AZ-900 Microsoft Azure – Preparación examen,https://www.udemy.com/course/az-900-espanol-1/
Certificación Google Cloud Digital Leader (2),Google Cloud Digital Leader – Español,https://www.udemy.com/course/espanol-google-cloud-digital-leader-por-jairo-pirona/
Certificación Google Cloud Digital Leader (2),Google Cloud Digital Leader – Preparación en Español,https://www.udemy.com/course/google-cloud-digital-leader-espanol/
Certificación DevOps Foundation (DOFD),DevOps Foundation – fundamentos,https://www.udemy.com/course/devops-foundation/
Certificación DevOps Foundation (DOFD),DevOps Foundation - 6 practice Exams 2025,https://www.udemy.com/course/devops-foundation-dofd-practice-exams-2025
Agilidad en Acción,Agilidad en Acción: Curso intensivo,https://www.udemy.com/course/agilidad-en-accion-curso-intensivo-de-metodologias-agiles/
Pensamiento sistémico y visión global,Pensamiento Sistémico,https://www.udemy.com/course/pensamiento-sistemico/
Pensamiento sistémico y visión global,DevOps y Microservicios – Fundamentos,https://www.udemy.com/course/devops-y-microservicios-fundamentos/
Habilidades comunicativas básicas,Comunicación Efectiva,https://www.udemy.com/course/tumejorversion-comunicacionefectiva/
